Category,Round
THE VIETNAM ERA,Double Jeopardy!
"SOFT ""C""",Double Jeopardy!
THE 16th CENTURY,Final Jeopardy!
BUDDHA,Jeopardy!
HUNGARY,Jeopardy!
THE 1996 ELECTION,Final Jeopardy!
"HAPPY 200th, LINCOLN & DARWIN",Jeopardy!
TOP 40 SONGS' MISSING LINKS,Jeopardy!
"""G""EOGRAPHY",Jeopardy!
THEY GOT IT ON eBAY!,Jeopardy!
GONE WITH THE WIND: THE NOVEL,Double Jeopardy!
FROM SCREEN TO STAGE,Double Jeopardy!
GENOME-ENCLATURE,Double Jeopardy!
BUILT IN THE U.S.A.,Double Jeopardy!
INTERNATIONAL RELATIONS,Final Jeopardy!
POEM,Jeopardy!
"""S.A.""s",Jeopardy!
COMEDY,Jeopardy!
GEEK TRAGEDY,Jeopardy!
COUNTRY MATTERS,Double Jeopardy!
CURRENT GOVERNORS,Double Jeopardy!
MACHINES,Double Jeopardy!
MEDICAL PRODUCTS,Final Jeopardy!
LITTLE MOVIES,Jeopardy!
JIMMY LOVES THAT COMPUTER,Jeopardy!
NEW JERSEYITES,Jeopardy!
METAPHORICAL INSULTS,Jeopardy!
BIG MOVIES,Double Jeopardy!
SOUNDING OFF,Double Jeopardy!
I'M WARNING YOU...,Double Jeopardy!
NOW GET OUT!,Double Jeopardy!
CAN'T GET ENOUGH OPERA,Jeopardy!
CY YOUNG AWARD WINNERS,Jeopardy!
NEWLY DISCOVERED CHEMICAL ELEMENTS?,Jeopardy!
"""NORTH"" & ""SOUTH""",Jeopardy!
EAST & WEST,Jeopardy!
THIS IS ONE SLIMY CATEGORY,Jeopardy!
OPENING ACTS,Double Jeopardy!
NATURE CALLS,Double Jeopardy!
CAN I BUY YOU A SANDWCH?,Double Jeopardy!
"""B"" PREPARED",Double Jeopardy!
POLITICAL TERMS,Final Jeopardy!
NATURAL BIOLOGY,Jeopardy!
MOVIE NEWCOMERS,Jeopardy!
DIVERSIONS,Jeopardy!
PEAKS & VALLEYS,Jeopardy!
AD HOCK,Jeopardy!
NATIONAL SPELLING BEE WINNING WORDS,Jeopardy!
GEOGRAPHIC POP,Double Jeopardy!
I CHALLENGE YOU TO A DUEL!,Double Jeopardy!
"EDUCATIONAL ""BURG""s",Double Jeopardy!
BELLY UP TO THE BAROQUE,Double Jeopardy!
REGIONALISMS,Double Jeopardy!
IMPRESSIONS,Jeopardy!
"""LITTLE"" WOMEN",Jeopardy!
HEIR CONDITIONING,Jeopardy!
SECRET IDENTITIES,Jeopardy!
LATIN LOVERS,Jeopardy!
IMPRESSIONISM,Double Jeopardy!
NAMES IN THE NUDE,Double Jeopardy!
CHECK THE MAP,Double Jeopardy!
CLASSIC SONG LYRICS,Double Jeopardy!
PSYCH 102,Double Jeopardy!
SHAKESPEAREAN ANAGRAMS,Double Jeopardy!
THE CLINTON ADMINISTRATION,Final Jeopardy!
THE 21st CENTURY WITH CNN,Jeopardy!
NAME THAT GAME SHOW,Jeopardy!
SWEET STUFF,Jeopardy!
"TAKE A ""SHOT""",Jeopardy!
BROADWAY REVIVALISM,Double Jeopardy!
TECH TALK,Double Jeopardy!
SCRAMBLED MAMMALS,Double Jeopardy!
"""COL""LEGE",Double Jeopardy!
OTHER CIVIL WARS,Jeopardy!
CIRCUS HISTORY,Jeopardy!
FOOD SPECIFICS,Jeopardy!
"""TEE"" TIME",Jeopardy!
HOME COUNTRY OF THE U.N. SECRETARY-GENERAL,Double Jeopardy!
SCI FI MOVIE SUMMARIES,Double Jeopardy!
ART MUSEUM EXHIBITS,Double Jeopardy!
DEPARTMENT OF REDUNDANCY DEPARTMENT,Double Jeopardy!
THE HALL OF HUMAN ORIGIN,Double Jeopardy!
BILLBOARD NO. 1 HITMAKERS,Final Jeopardy!
SPACED OUT,Jeopardy!
ASIAN AMERICANS,Jeopardy!
HARVARD DEGREE HONOREES,Jeopardy!
THE FIFTH,Jeopardy!
FAMILIAR PHRASES IN OTHER WORDS,Jeopardy!
GROVER CLEVELAND,Double Jeopardy!
ARE YOU EATING RIGHT?,Double Jeopardy!
STAR WARS CHARACTERS,Double Jeopardy!
THE TOWER OF LONDON,Double Jeopardy!
YOU KNOW MORE THAN YOU THINK,Double Jeopardy!
LITERARY INSPIRATIONS,Final Jeopardy!
TV,Jeopardy!
DISCOVERIES & INVENTIONS,Jeopardy!
PYRAMID OF JEOPARDY!,Jeopardy!
20th CENTURY NOVELISTS,Double Jeopardy!
FROM MOVIE TO MUSICAL,Double Jeopardy!
FAMILY MATTERS,Double Jeopardy!
"ON THE ""MA""P",Double Jeopardy!
"LOCUTION, LOCUTION, LOCUTION",Double Jeopardy!
ARCHITECTURAL HISTORY,Final Jeopardy!
MILITARY MOVIES,Jeopardy!
FORMER NAMES ON THE MAP,Jeopardy!
FAMOUS QUESTIONS,Jeopardy!
"YOU JUST HAVE TO ""ASK""",Jeopardy!
THAR HE BLOWS!,Double Jeopardy!
POPULATION-POURRI,Double Jeopardy!
"TELL ME ""Y""",Double Jeopardy!
AWARD NAMESAKES,Final Jeopardy!
EASY,Jeopardy!
THE BOZO NEWS,Jeopardy!
HARD,Jeopardy!
SPELL IT BACKWARDS,Jeopardy!
19th CENTURY LITHUANIA,Jeopardy!
IMPOSSIBLE,Jeopardy!
POTPOURRI...NO FOOLIN',Final Jeopardy!
BEFORE HE WAS PRESIDENT...,Jeopardy!
POLITICALLY INCORRECT SONGS,Jeopardy!
"""STREET""s",Jeopardy!
SOUNDS THE SAME,Jeopardy!
TALKING RELIGION,Double Jeopardy!
CABLE TV,Double Jeopardy!
GAS,Double Jeopardy!
LODGING,Double Jeopardy!
MOVIE CHARACTERS,Final Jeopardy!
"""GIRL"" MOVIES",Jeopardy!
FACE TALK,Jeopardy!
WE MADE IT,Jeopardy!
JUSTIN TIME,Jeopardy!
THE CHEMICAL WORLD,Double Jeopardy!
LAS VEGAS,Double Jeopardy!
'80s MUSIC,Double Jeopardy!
"""G"" WHIZ!",Double Jeopardy!
DOUBLE MEANINGS,Final Jeopardy!
"WATCHMAKER, WATCHMAKER",Jeopardy!
A HOST OF TV HOSTS,Jeopardy!
WE WHISTLE WHILE YOU WORK,Jeopardy!
HALL-ELUJAH!,Jeopardy!
IT'S REIGNING MEN,Jeopardy!
HISTORIC SHIPS,Double Jeopardy!
CANDIED CAMERA,Double Jeopardy!
STATE SANDWICH,Double Jeopardy!
CALCIUM-RICH FOODS,Double Jeopardy!
FILL IN THE BOOK TITLE,Double Jeopardy!
WORDS BEFORE BALL,Double Jeopardy!
COMPUTER SCIENCE,Final Jeopardy!
EVEN-TOED UNGULATES,Jeopardy!
NAME THAT BOARD GAME,Jeopardy!
CLOTHES MAKE THE LAND,Jeopardy!
SAYS YOU,Jeopardy!
RICHARD NIXON,Double Jeopardy!
FUN WITH FUNGUS,Double Jeopardy!
FOREIGN HOLIDAY,Double Jeopardy!
THE PEACE OF WESTPHALIA,Double Jeopardy!
"""STICK"" WITH IT",Double Jeopardy!
PUBLIC HEALTH,Jeopardy!
INSECTOID RHYME TIME,Jeopardy!
ACTOR-PLAYWRIGHTS,Jeopardy!
REJECTED SUPER BOWL HALFTIME SHOWS,Jeopardy!
TIME FOR A MOVIE REVIEW,Double Jeopardy!
THE CONNECTICUT CONNECTION,Double Jeopardy!
THERE IS A SANTA CLAUSE,Double Jeopardy!
"THE ""BYRD""s & THE ""BEA""s",Double Jeopardy!
LINES FROM LINCOLN,Final Jeopardy!
THE GREEK GOD'S ROMAN NAME,Jeopardy!
FICTIONAL MUNCHIES,Jeopardy!
GRANDMA'S LOTTO NUMBERS,Jeopardy!
FISH TALES,Jeopardy!
ALEX ROCKS IN CONCERT,Jeopardy!
"""B"" FORE & AFTER",Jeopardy!
THEIR SIMILAR MOVIE TITLES,Double Jeopardy!
LIFE SCIENCES,Double Jeopardy!
"EAT IT, BEAT IT OR TREAT IT",Double Jeopardy!
OPERAS BY CHARACTERS,Double Jeopardy!
4 Es FOR THEE,Double Jeopardy!
CAPITAL TOURISM,Jeopardy!
TV PUPPETS,Jeopardy!
LEAP DAY BABIES,Jeopardy!
A PROVERBIAL MESS,Jeopardy!
FULL SERVICE,Jeopardy!
BY HALVES,Jeopardy!
WILLIAM HOWARD TAFT,Double Jeopardy!
WRITERS' PEN NAMES,Double Jeopardy!
POP MUSIC DECADES,Double Jeopardy!
HAWAII,Double Jeopardy!
1896,Final Jeopardy!
OSCAR SONGS,Jeopardy!
GHOSTS,Jeopardy!
SMOKING,Jeopardy!
BLOOD,Jeopardy!
“GUT”s,Double Jeopardy!
IN YOUR CABINET,Jeopardy!
MOMS' MONOGRAMS,Jeopardy!
"""LAND"" HO!",Jeopardy!
PUT IT ON DONALD TRUMP'S BILL,Jeopardy!
IN GEORGE W. BUSH'S CABINET,Double Jeopardy!
A DREW BARRYMORE FILM FESTIVAL,Double Jeopardy!
THE 1700s,Double Jeopardy!
EINSTEIN & FRIENDS,Double Jeopardy!
TIME'S PERSON OF THE YEAR,Double Jeopardy!
WAR OF WORDS,Double Jeopardy!
1920s LITERATURE,Final Jeopardy!
THE HOBOKEN FIVE,Jeopardy!
ANIMALS ALOFT,Jeopardy!
INNOCENT POPES,Jeopardy!
OPTICS,Double Jeopardy!
MOVIES BY CHARACTERS,Double Jeopardy!
ON THE U.S. MAP,Double Jeopardy!
CURSES,Double Jeopardy!
"""PAN""HANDLING",Double Jeopardy!
'60s MOVIES,Final Jeopardy!
PUPPETS ON PARADE,Jeopardy!
I'M READY FOR MY CLOSE-UP,Jeopardy!
THE TOP TEN OF EVERYTHING,Double Jeopardy!
LET'S PLAY POKER,Double Jeopardy!
"ONE ""L""",Double Jeopardy!
ENTERTAINMENT HISTORY,Final Jeopardy!
AS LISTED IN THE S.I. ALMANAC,Jeopardy!
"DRINK, SKIN CARE ITEM OR R&B SINGER",Jeopardy!
COLORFUL TERMS,Jeopardy!
HAVE A HEART WITH DR. OZ,Double Jeopardy!
ANIMATED VOICES,Double Jeopardy!
THE MUSIC MAN'S INSTRUMENT,Double Jeopardy!
FUN STUFF,Double Jeopardy!
"""C"" DUTY",Double Jeopardy!
AMERICAN NOVELISTS,Final Jeopardy!
LATIN AMERICAN HISTORY,Jeopardy!
WATER TRANSPORTS,Jeopardy!
AUTOIMMUNE DISORDERS,Jeopardy!
LET THEM EAT CAKE,Jeopardy!
"SO YOU'RE THE ""SMART"" ONE, EH?",Jeopardy!
THE NEW YORK TIMES ARTS & LEISURE,Double Jeopardy!
HOPE YOU LEARNED YOUR AFRICAN CAPITALS,Double Jeopardy!
PLACES TO PUT YOUR BIG WINNINGS,Double Jeopardy!
ESPIONAGE,Final Jeopardy!
"A ""WAR AND PEACE"" QUIZ",Jeopardy!
THEY WROTE THE SONGS,Jeopardy!
NECKWARE,Jeopardy!
FOREIGN WORDS,Jeopardy!
"AMERICAN HISTORY ""X""",Double Jeopardy!
ORGANIC CHEMISTRY,Double Jeopardy!
ACTING PRESIDENTS,Double Jeopardy!
HISTORIC POST-IT NOTES,Double Jeopardy!
WORDS FOUND IN MAGAZINE NAMES,Double Jeopardy!
SPORTS BOOKS,Final Jeopardy!
PRESIDENTIAL DEMISES,Jeopardy!
DEVILISH MOVIES,Jeopardy!
FAST CARS,Jeopardy!
LET'S PUT ON AN OPERA!,Jeopardy!
"""NO"" WAY",Jeopardy!
SHOW TUNES,Double Jeopardy!
NOBEL PEACE PRIZE WINNERS,Double Jeopardy!
THE JAMES GANG,Double Jeopardy!
NEW ASTROLOGY?,Double Jeopardy!
AUSTRALIAN HISTORY,Jeopardy!
WINTER SPORTS & GAMES,Jeopardy!
THEY'RE OUR GODS,Jeopardy!
AN ABBREV. CATEG.,Jeopardy!
I'M GIDDY FOR GADGETS,Double Jeopardy!
REALLY OLD MOVIES,Double Jeopardy!
"NOT ONE, NOT 2, BUT 3 Os",Double Jeopardy!
IT'S JASON'S BAR MITZVAH,Jeopardy!
PANDA-MONIUM,Jeopardy!
NATIONAL MONUMENTS,Double Jeopardy!
NAMES BY THE NUMBER,Double Jeopardy!
FROM BOOK TO SCREEN,Double Jeopardy!
"THE ""EX"" FILES",Double Jeopardy!
VIOLINS,Double Jeopardy!
FAMOUS ARTISTS,Final Jeopardy!
OSCAR MOMENTS,Jeopardy!
LIKE AN ANIMAL,Jeopardy!
SPACY BOOKS,Jeopardy!
ARCHITECT TALK,Double Jeopardy!
SHOW ME THE MONET,Double Jeopardy!
SPACEY MOVIES,Double Jeopardy!
MARINE SCIENCE,Jeopardy!
THE '60s MUSIC SCENE,Jeopardy!
WHAT DO YOU FEEL LIKE EATING?,Jeopardy!
FINISH YOUR MAIN COURSE,Jeopardy!
YOU GET NO DESSERT!,Jeopardy!
NAME THE FOE,Double Jeopardy!
BEST SCREENPLAY OSCARS,Double Jeopardy!
MULE DRIVING,Double Jeopardy!
STORY COLLECTIONS,Double Jeopardy!
BE A QUICK CHANGE ARTIST,Double Jeopardy!
"""P""s TIME",Double Jeopardy!
STRIKE UP THE BAND,Jeopardy!
PARADISE LOST,Jeopardy!
FRENCH CLASS: POTPOURRI,Jeopardy!
SCORPIOS,Double Jeopardy!
THINKING ABOUT COLLEGE,Double Jeopardy!
FRENCH CLASS: THE BODY,Double Jeopardy!
SPORTS ILLUSTRATED ALMANAC LISTINGS,Jeopardy!
PAGE BURNERS,Jeopardy!
"SLIPPERY AS AN ""EEL""",Jeopardy!
THE 1600s,Double Jeopardy!
FOLLOW THE LEADER TO THE CAPITAL,Double Jeopardy!
BEWITCHED,Double Jeopardy!
ANDORRA,Double Jeopardy!
DARWIN,Double Jeopardy!
HOLLYWOOD SCANDALS,Final Jeopardy!
"YOU CAN CALL ME ""AL""",Jeopardy!
OFF THE ENDANGERED SPECIES LIST,Jeopardy!
JANET RENO'S DANCE PARTY,Jeopardy!
RAY LaHOOD'S TRANSPO-LOOZA,Jeopardy!
MITCH McCONNELL'S KENTUCKY MEGAMIX,Jeopardy!
COMMANDERS AT WAR,Double Jeopardy!
TWICE-TOLD TALES,Double Jeopardy!
x 2,Double Jeopardy!
"WHO KILLED ME, SHAKESPEARE?",Double Jeopardy!
PACIFIC STANDARD RHYME TIME,Double Jeopardy!
THE SUPER BOWL,Final Jeopardy!
THE FEMININE MISTAKE,Jeopardy!
YE OLDE BIG APPLE,Jeopardy!
FURNITURE WORDS,Jeopardy!
GREEK & ROMAN POTPOURRI,Double Jeopardy!
KEVIN-SENT,Double Jeopardy!
BOOK DEDICATIONS,Double Jeopardy!
PASTA,Double Jeopardy!
DUCHY,Double Jeopardy!
"TO THE ""LEFT"" HAND SIDE",Double Jeopardy!
FRENCHMEN IN HISTORY,Final Jeopardy!
NURSERY RHYME PHOBIAS,Jeopardy!
MOTOWN,Jeopardy!
"""P""EOPLE",Jeopardy!
PASTA GLOSSARY,Jeopardy!
SPORTS LEFTIES,Double Jeopardy!
1831,Double Jeopardy!
TRENDY!,Double Jeopardy!
17th CENTURY DRAMA,Double Jeopardy!
"""EX"" RATED",Double Jeopardy!
IN THE BACKYARD,Jeopardy!
"ENDS IN ""OUGH""",Jeopardy!
DETECTIVE STORIES,Final Jeopardy!
PERMANENTLY AT WESTMINSTER ABBEY,Jeopardy!
MOVIE SEQUELS,Jeopardy!
HAMNESIA,Jeopardy!
PICTURE THE PREZ,Jeopardy!
PLAYING BASEBALL FOR VOCABULARY,Jeopardy!
COUNTRY,Double Jeopardy!
GANGSTER RAP,Double Jeopardy!
"""HIP"" ""HOP""",Double Jeopardy!
RELIGIOUS WORDS,Final Jeopardy!
CURRENT EVENTS,Jeopardy!
CELEBRITY BOOKS,Jeopardy!
LIONS & TIGERS & BEARS,Jeopardy!
"""O"" MY",Jeopardy!
THE DREADED OPERA CATEGORY,Double Jeopardy!
GREAT ARTISTS,Final Jeopardy!
19th CENTURY INVENTORS,Jeopardy!
TOM TIME,Jeopardy!
ALL ABOUT PRESIDENTS,Jeopardy!
CHICAGO FUN & SUNDRY FACTS,Jeopardy!
"CROSSWORD CLUES ""C""",Jeopardy!
WALKING WITH DINOSAURS,Double Jeopardy!
TV & FILM FOOD,Double Jeopardy!
MAJOR,Double Jeopardy!
AMERICAN PLAYWRIGHTS,Jeopardy!
1977,Jeopardy!
"OLD, ODD & OBSCURE WORDS",Jeopardy!
OSCAR WINNERS OF YORE,Double Jeopardy!
MORE,Double Jeopardy!
"WHAT SHOULD I ""DU""?",Double Jeopardy!
LEAVE 'EM LAUGHING,Double Jeopardy!
SING-ALONG SONGS,Jeopardy!
"FILE UNDER ""T""",Jeopardy!
INDIANA,Double Jeopardy!
MARLON BRANDO,Double Jeopardy!
THE HISTORY OF MEDICINE,Jeopardy!
BROADWAY GEOGRAPHY,Jeopardy!
WOMEN AUTHORS,Jeopardy!
"""K"" MART",Jeopardy!
EARTHQUAKES,Double Jeopardy!
MOVIES' LAST LINES,Double Jeopardy!
ASHES TO ASHES,Double Jeopardy!
DUST TO DUST,Double Jeopardy!
THE IBERIAN PENINSULA,Jeopardy!
REWRITTEN TOMBSTONES,Jeopardy!
MILITARY MATTERS,Jeopardy!
"ABOUT ""FACE""",Jeopardy!
CELEBRATED AFRICAN-AMERICANS,Double Jeopardy!
THE STATUE OF LIBERTY,Double Jeopardy!
ALL LIT UP,Double Jeopardy!
ROBERT SCHUMANN,Double Jeopardy!
ANCIENT ROMANS,Final Jeopardy!
QUITE A DISH,Jeopardy!
KING WORLD,Jeopardy!
SONY,Jeopardy!
COLOMBIA PICTURES,Jeopardy!
"TRY ""STAR""",Jeopardy!
PACIFIC ISLAND CULTURES,Double Jeopardy!
CARTOON THEME SONGS,Double Jeopardy!
NO E'S PLEASE,Double Jeopardy!
NATIONAL HISTORIC SITES,Double Jeopardy!
POETS BEFORE & AFTER,Double Jeopardy!
SCIENTIFIC INSTRUMENTS,Final Jeopardy!
ANCIENT BOOKS,Jeopardy!
NFL TEAM NICKNAMES,Jeopardy!
THE UNDERGROUND RAILROAD,Jeopardy!
SO LONG,Jeopardy!
GOOD BUY!,Jeopardy!
CHOW,Jeopardy!
HEADED FOR THE FINNISH LINE,Double Jeopardy!
PROVERB VS. PROVERB,Double Jeopardy!
BACK AT THE CBC,Double Jeopardy!
18th CENTURY SCIENTISTS,Final Jeopardy!
POT-POURRI,Jeopardy!
THE ED SULLIVAN SHOW,Jeopardy!
A DECEMBER TO REMEMBER,Double Jeopardy!
ARE YOU READY FOR SOME FOOTBALL?,Double Jeopardy!
THE METRIC EQUIVALENT,Double Jeopardy!
WHERE THERE'S A HILL,Double Jeopardy!
"THERE'S AN ""A""",Double Jeopardy!
AMERICAN DRAMA,Final Jeopardy!
WE HAVE THE TECHNOLOGY,Jeopardy!
TOP 40 HITMAKERS,Jeopardy!
"YO, JIMMY!",Jeopardy!
IS THIS HEAVEN?,Jeopardy!
"NO, IT'S IOWA",Jeopardy!
LATIN AMERICAN LITERATURE,Double Jeopardy!
SOVIET BLOC HEADS,Double Jeopardy!
"TESTING YOUR ""IQ""",Double Jeopardy!
TARZAN MOVIE REVIEW,Jeopardy!
COUNTRY OF BIRTH,Jeopardy!
TALKING SHOP,Jeopardy!
"LET'S BUILD AN ""ARK""",Jeopardy!
"U.S. ""C""ITIES",Double Jeopardy!
LITTLE LEAGUE,Double Jeopardy!
ART-IFICIAL,Double Jeopardy!
JUST PLANE FUN,Double Jeopardy!
PUBLISHING,Final Jeopardy!
WHAT THEY WORE,Jeopardy!
ARE YOU READY FOR SOME FOOTBALL?,Jeopardy!
QUARTER BACKS,Jeopardy!
PAINTING OF THE CENTURY,Double Jeopardy!
POTENT PEOPLE,Double Jeopardy!
"WHAT ""A"" COUNTRY",Double Jeopardy!
CARRY ON,Double Jeopardy!
REPTILES & AMPHIBIANS,Double Jeopardy!
____ OF ____,Double Jeopardy!
AMERICAN ENTERTAINERS,Final Jeopardy!
1905,Jeopardy!
ACTUAL MLB ANNOUNCER QUOTES,Jeopardy!
TRIOS,Jeopardy!
THE L WITH U,Jeopardy!
PITTSBURGH,Double Jeopardy!
YOU GOT MY LITERARY NUMBER,Double Jeopardy!
LITTLE GREEN MEN,Double Jeopardy!
WE MAKE MONEY THE OLD-FASHIONED WAY,Double Jeopardy!
"WE ""EARN"" IT",Double Jeopardy!
FINISH THE LINE,Jeopardy!
TARZAN'S ZOO,Jeopardy!
NAME THE MUSICAL,Jeopardy!
"""S"" WORDS",Jeopardy!
HAPPY BIRTHDAY TO US,Jeopardy!
IT WAS THE '70s,Double Jeopardy!
SWORDS,Double Jeopardy!
INTERNATIONAL SPORTS,Final Jeopardy!
18th CENTURY AMERICAN QUOTES,Jeopardy!
"""GOOD"" & ""BAD"" SONGS",Jeopardy!
NAME THAT MAJOR NEWSPAPER,Jeopardy!
A STATE OF DELAWARE-NESS,Jeopardy!
THE BIG ORANGE CATEGORY,Jeopardy!
SOVIET MAN,Double Jeopardy!
PIC-POURRI,Double Jeopardy!
WOMEN POETS,Double Jeopardy!
NASCAR,Double Jeopardy!
FORMULA 1,Double Jeopardy!
"""GRAND"" PRIX",Double Jeopardy!
THE U.S. MILITARY,Final Jeopardy!
"ON, WISCONSIN!",Jeopardy!
TV PERFORMERS BY ROLE,Jeopardy!
ACADEMIA NUTS,Jeopardy!
WHO WAS THE PRESIDENT WHEN...,Jeopardy!
THERE'S NO BUSINESS LIKE BUSINESS BUSINESS,Jeopardy!
B MINUS,Jeopardy!
CHAMPS OF THE SQUARE CIRCLE,Double Jeopardy!
HIPPO-POURRI,Double Jeopardy!
"YOU'RE PLAYING GAMES WITH ME, ALEX",Double Jeopardy!
CALENDAR LIT,Double Jeopardy!
"MINING ""ORE""",Double Jeopardy!
THEATRE 2005,Final Jeopardy!
BEASTLY MOVIES,Jeopardy!
TOLSTOY'S R US,Jeopardy!
USING YOUR NOODLE,Jeopardy!
LET'S TALK,Jeopardy!
"THE NEW YORK TIMES CROSSWORD CLUES ""O""",Jeopardy!
LITTLE ROCK,Double Jeopardy!
BISMARCK,Double Jeopardy!
NASHVILLE,Double Jeopardy!
COLUMBIA,Double Jeopardy!
"BOYS' ""E""",Double Jeopardy!
EUROPEAN PRINCESSES,Final Jeopardy!
THE FAMILY CAR,Jeopardy!
PROFESSIONAL SPORTS,Jeopardy!
FROG STUFF,Jeopardy!
I WAS A TEENAGE...,Jeopardy!
THIS IS PLANET EARTH,Double Jeopardy!
WOODSTOCK '99,Double Jeopardy!
PARTS OF SPEECH,Double Jeopardy!
THE NANNY,Jeopardy!
TV ADJECTIVES,Jeopardy!
LIFE'S A (MILITARY) CAMPAIGN,Jeopardy!
"CHEERY ""O""s",Jeopardy!
CALI-FUN-ICATION,Jeopardy!
THE TRUTH IS OUT THERE,Double Jeopardy!
"HEY, MATTHEWS",Double Jeopardy!
AD MEN,Double Jeopardy!
HYPHENATES,Double Jeopardy!
SOUTH AMERICAN COUNTRIES,Double Jeopardy!
HOLY ____!,Double Jeopardy!
ENTREPRENEURS,Final Jeopardy!
COLLEGE BOWL,Jeopardy!
HIGH ROLLERS,Jeopardy!
BLOCKBUSTERS,Jeopardy!
AMERICAN GLADIATORS,Jeopardy!
PYRAMID,Jeopardy!
WELCOME TO THE 1950S,Double Jeopardy!
GOODBYE TO 1997,Double Jeopardy!
ACCENT ON COMEDY,Double Jeopardy!
POPES NAMED CLEM,Double Jeopardy!
LEGAL EAGLES,Final Jeopardy!
"MISSISSIPPI, MY LOVE",Jeopardy!
WEBSITE NAME ABBREVIATIONS,Jeopardy!
19th CENTURY BUSINESSMEN,Jeopardy!
"""CL""UE ME IN",Jeopardy!
ART FOR ART'S SAKE!,Jeopardy!
BOGEY MEN,Jeopardy!
BIRTH MONTH FLOWERS,Double Jeopardy!
CLASSICAL SOUND EFFECTS,Double Jeopardy!
BOGEY MEN,Double Jeopardy!
DISNEY'S ANIMAL KINGDOM,Jeopardy!
IT'S A BIG WORLD,Jeopardy!
I KNOW THAT NAME,Jeopardy!
LET'S GO ONLINE,Double Jeopardy!
MEDICAL CHECKUP,Double Jeopardy!
SPORTS GIANTS,Double Jeopardy!
"THAT'S ""ME"" IN THE MIDDLE",Double Jeopardy!
BAY O' WOLF,Jeopardy!
GULLIBLE TRAVELS,Jeopardy!
LITTLE WOMEN,Jeopardy!
"PAIR OF DICE, LOST",Jeopardy!
THE SCARLET LETTERS,Jeopardy!
GONE COUNTRY,Double Jeopardy!
JUST MISSED THE TOP OF THE CHARTS,Double Jeopardy!
ALPHABETICA,Double Jeopardy!
NATURE STUDY,Double Jeopardy!
1899,Jeopardy!
MEDICINAL PLANTS,Jeopardy!
"ENDS WITH ""OOF""",Jeopardy!
"GLUB, GLUB",Double Jeopardy!
ACTRESSES & THEIR ROLES,Final Jeopardy!
INDEPENDENCE DAYS,Jeopardy!
I GOT THE MUSIC IN ME,Jeopardy!
PREHISTORIC TIMES,Jeopardy!
"LET IT ""B""",Jeopardy!
EGGS-CITEMENT!,Jeopardy!
U.S. LAKES,Double Jeopardy!
WHAT THEY DID IN 2000,Double Jeopardy!
MEDICAL ABBREVIATIONS,Double Jeopardy!
"""...OD"" WORDS",Double Jeopardy!
FAMOUS FILMS,Final Jeopardy!
JPL,Jeopardy!
"""NEW"" GEOGRAPHY",Jeopardy!
TOP 40 DEBUTS,Jeopardy!
1946,Jeopardy!
HAVE FUN,Jeopardy!
SOME CHOICE 4-LETTER WORDS,Jeopardy!
McGRAW-HILL,Double Jeopardy!
LITTLE BROWN,Double Jeopardy!
FACTS ON FILE,Double Jeopardy!
POMEGRANATE PRESS,Double Jeopardy!
RANDOM HOUSES,Double Jeopardy!
DREAD MAN WALKING,Jeopardy!
FALL DOWN GO BOOM!,Jeopardy!
"WHAT'S UP, PEDIATRICIAN?",Jeopardy!
"JUST THE FACT, MA'AM",Jeopardy!
OJ (ORANGE JUICE) THESAURUS,Jeopardy!
MOVIE STAR BY ROLES,Double Jeopardy!
BANKING,Double Jeopardy!
LORD BYRON,Double Jeopardy!
GET OUT YOUR PHRASEBOOK,Double Jeopardy!
BIBLE STORIES,Jeopardy!
NEW REALITY SHOWS?,Jeopardy!
HAPPY MADISON,Double Jeopardy!
WHAT'S WRONG WITH ME?,Double Jeopardy!
LET'S GO TO THE BALLET,Double Jeopardy!
FIGHT SONGS,Double Jeopardy!
SLANGUAGE,Double Jeopardy!
ALLIANCES,Final Jeopardy!
MOVIE MANIA,Jeopardy!
KEGLER PARTY,Jeopardy!
DATE NIGHT,Jeopardy!
FILL IN THE (BLANK),Jeopardy!
FRANK LLOYD WRIGHT,Double Jeopardy!
GETTING SCIENTIFIC,Double Jeopardy!
WHEN THEY WERE IN COLLEGE,Double Jeopardy!
THE SPORTING LIFE,Double Jeopardy!
"""A""BBREVIATIONS",Double Jeopardy!
EUROPEAN GOVERNMENT,Final Jeopardy!
ABBA-SOLUTELY FABULOUS,Jeopardy!
THE BRADY BRUNCH,Jeopardy!
SPEECH! SPEECH!,Jeopardy!
"OH, BE ""SILENT""!",Jeopardy!
MOVIES TO THE MAX,Double Jeopardy!
ALMOST ASSASSINATED,Double Jeopardy!
"FURRED, FEATHERED, FINNED",Double Jeopardy!
"THE ""O.C.""",Double Jeopardy!
YOUTH ORGANIZATIONS,Final Jeopardy!
DO-GOODERS,Jeopardy!
BALLETS ALEX COULD STAR IN,Jeopardy!
ONE OF THESE THINGS IS NOT LIKE THE OTHERS,Jeopardy!
10 YEARS GONE,Double Jeopardy!
CHARACTERS IN CASABLANCA,Double Jeopardy!
IAMBIC WORDS,Double Jeopardy!
YOU'VE BEEN POSTERIZED!,Double Jeopardy!
LACE,Double Jeopardy!
HISTORICAL POEMS,Final Jeopardy!
FAMOUS SHIPS,Jeopardy!
THE 1820s,Jeopardy!
"""BI""WORDS",Jeopardy!
BILL CLINTON,Double Jeopardy!
FOREIGN CURRENCY,Double Jeopardy!
